hardware,cpu,isa,microarchitecture,architecture_year,observed_worker_ghz,platform_rationale
ConnectX-4,Intel Xeon Gold 6146,x86_64,Skylake-SP,2017,3.282,Period-matched host platform for the oldest NIC generation
ConnectX-5,Intel Xeon Gold 6248R,x86_64,Cascade Lake Refresh,2020,3.093,Period-matched host platform; results are not a controlled NIC-only comparison with ConnectX-4
ConnectX-6 Dx,Intel Xeon Platinum 8562Y+,x86_64,Emerald Rapids,2023,4.100,Modern PCIe 4 host chosen to expose the newer NIC datapath
BlueField-3,Arm Cortex-A78AE,Armv8.2-A,Cortex-A78AE,2020,1.997,Embedded DPU execution rather than a host-NIC comparison
